Algo,Run,Width,Height,Density,TimeMs,PathLen
BFS,1,10,10,0.10,1,11
Dijkstra,1,10,10,0.10,0,11
AStar,1,10,10,0.10,0,10
BFS,2,10,10,0.10,0,11
Dijkstra,2,10,10,0.10,0,11
AStar,2,10,10,0.10,0,10
BFS,3,10,10,0.10,0,11
Dijkstra,3,10,10,0.10,0,11
AStar,3,10,10,0.10,0,10
BFS,4,10,10,0.10,0,11
Dijkstra,4,10,10,0.10,0,11
AStar,4,10,10,0.10,0,10
BFS,5,10,10,0.10,0,11
Dijkstra,5,10,10,0.10,0,11
AStar,5,10,10,0.10,0,10
BFS,1,10,10,0.20,0,11
Dijkstra,1,10,10,0.20,0,11
AStar,1,10,10,0.20,0,10
BFS,2,10,10,0.20,0,11
Dijkstra,2,10,10,0.20,0,11
AStar,2,10,10,0.20,0,10
BFS,3,10,10,0.20,0,11
Dijkstra,3,10,10,0.20,0,11
AStar,3,10,10,0.20,0,10
BFS,4,10,10,0.20,0,11
Dijkstra,4,10,10,0.20,0,11
AStar,4,10,10,0.20,0,10
BFS,5,10,10,0.20,0,11
Dijkstra,5,10,10,0.20,0,11
AStar,5,10,10,0.20,0,10
BFS,1,10,10,0.30,0,0
Dijkstra,1,10,10,0.30,0,0
AStar,1,10,10,0.30,0,0
BFS,2,10,10,0.30,0,0
Dijkstra,2,10,10,0.30,0,0
AStar,2,10,10,0.30,0,0
BFS,3,10,10,0.30,0,0
Dijkstra,3,10,10,0.30,0,0
AStar,3,10,10,0.30,0,0
BFS,4,10,10,0.30,0,0
Dijkstra,4,10,10,0.30,0,0
AStar,4,10,10,0.30,0,0
BFS,5,10,10,0.30,0,0
Dijkstra,5,10,10,0.30,0,0
AStar,5,10,10,0.30,0,0
BFS,1,10,20,0.10,0,20
Dijkstra,1,10,20,0.10,0,20
AStar,1,10,20,0.10,0,19
BFS,2,10,20,0.10,0,20
Dijkstra,2,10,20,0.10,0,20
AStar,2,10,20,0.10,0,19
BFS,3,10,20,0.10,0,20
Dijkstra,3,10,20,0.10,0,20
